"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.196245834E-2,-3.133993569E-1,1.142809063E-1,-9.922572935E-1
4.195145832E-2,-3.502280447E-1,1.931925899E-1,-3.156642759E-1
5.194145831E-2,-2.602025583E-1,1.444145322E-1,1.954104388E-1
6.193145833E-2,-6.205533028E-2,-7.993260741E-2,4.319876146E-1
7.192045831E-2,1.141177690E-1,-3.628507215E-1,3.273195308E-1
8.191045834E-2,1.237718144E-1,-4.084742063E-1,-9.950382292E-2
9.190045833E-2,1.846316814E-2,-2.983208495E-1,-6.133436859E-1
1.018894583E-1,-1.730644271E-1,-2.651548576E-1,-8.083676237E-1
1.118794583E-1,-3.445913288E-1,-2.854277390E-1,-6.228688002E-1
1.218694583E-1,-4.534565440E-1,-2.530809420E-1,-2.611430830E-1
1.318584583E-1,-4.721325508E-1,-1.037413001E-1,-7.091503143E-3
1.418484583E-1,-5.560415572E-1,-1.765625238E-2,6.523153782E-2
1.518384583E-1,-6.553246477E-1,1.262981039E-1,-9.134520292E-3
1.618274583E-1,-4.956716868E-1,1.681951582E-2,-1.061088377E-1
1.718174583E-1,-2.233446345E-1,-1.113040888E-1,-2.428331119E-1
1.818074583E-1,7.499521852E-2,-4.799043775E-2,-3.156426412E-1
1.917964583E-1,3.680474344E-1,-5.332134426E-2,-1.090979344E-1
2.017864583E-1,4.533390149E-1,-4.102698863E-2,2.944646108E-1
2.117764583E-1,3.729944712E-1,6.713714540E-2,6.720532393E-1
2.217654583E-1,3.933223164E-1,1.418446809E-1,9.329799753E-1
2.317554583E-1,4.176756772E-1,2.353486758E-1,1.042281978E0
2.417454583E-1,4.153759673E-1,3.368235952E-1,1.110054715E0
2.517354583E-1,4.042601180E-1,4.439492637E-1,1.105068210E0
2.617244583E-1,1.704656321E-1,5.094567901E-1,9.831414843E-1
2.717144583E-1,-1.030978140E-1,3.940339226E-1,8.161514372E-1
2.817044583E-1,-1.787058207E-1,-9.368993640E-3,7.569922328E-1
2.916934583E-1,-5.319738328E-2,-3.054708248E-1,6.848469472E-1
3.016834583E-1,1.850427407E-1,-2.466238618E-1,5.050976908E-1
3.116734583E-1,1.558350214E-1,1.444098544E-1,3.821681678E-1
3.216624583E-1,-3.182347119E-3,4.382213312E-1,4.644314754E-1
