"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.196245834E-2,4.480790496E-1,6.075844765E-1,-3.402996659E-1
4.195145832E-2,4.715885520E-1,6.828613877E-1,-3.214543462E-1
5.194145831E-2,5.590893626E-1,6.170432568E-1,-2.910865843E-1
6.193145833E-2,6.440896988E-1,5.191164613E-1,-2.585870326E-1
7.192045831E-2,6.719242334E-1,4.445101619E-1,-2.265846431E-1
8.191045834E-2,6.230679154E-1,3.200167716E-1,-2.095164359E-1
9.190045833E-2,5.376778841E-1,2.008948922E-1,-1.872875690E-1
1.018894583E-1,4.487698078E-1,1.103577018E-1,-1.637369245E-1
1.118794583E-1,3.883472085E-1,7.463272661E-2,-1.340205818E-1
1.218694583E-1,3.706814051E-1,6.413348019E-2,-1.180341244E-1
1.318584583E-1,3.960070014E-1,1.157154441E-1,-1.281056702E-1
1.418484583E-1,4.192766249E-1,2.291109860E-1,-1.212892756E-1
1.518384583E-1,4.286395013E-1,3.654627204E-1,-9.756237268E-2
1.618274583E-1,4.220070839E-1,4.932466447E-1,-9.627205878E-2
1.718174583E-1,3.942178190E-1,5.539643764E-1,-9.675356001E-2
1.818074583E-1,3.553978503E-1,5.800899863E-1,-1.109186858E-1
1.917964583E-1,3.484403491E-1,5.953078270E-1,-1.553799063E-1
2.017864583E-1,3.839543760E-1,6.295582652E-1,-2.043011338E-1
2.117764583E-1,4.587529898E-1,6.735315919E-1,-2.678678632E-1
2.217654583E-1,5.561171770E-1,7.350630164E-1,-3.462979198E-1
2.317554583E-1,6.714245677E-1,8.250624537E-1,-4.077458382E-1
2.417454583E-1,7.851609588E-1,9.345782995E-1,-4.728261828E-1
2.517354583E-1,8.944848180E-1,1.048765302E0,-5.382504463E-1
2.617244583E-1,9.690982103E-1,1.172740698E0,-5.844049454E-1
2.717144583E-1,9.998446703E-1,1.319394350E0,-6.090058684E-1
2.817044583E-1,9.878084660E-1,1.467216372E0,-6.004033685E-1
2.916934583E-1,9.337244630E-1,1.520121336E0,-5.862779617E-1
3.016834583E-1,8.584238887E-1,1.453914046E0,-5.625512004E-1
3.116734583E-1,8.076464534E-1,1.304909348E0,-5.094525814E-1
3.216624583E-1,7.957676649E-1,1.118442416E0,-4.541769624E-1
3.316524583E-1,8.614337444E-1,9.364061356E-1,-4.706488550E-1
3.416424583E-1,1.274372101E0,9.925017953E-1,-5.634545684E-1
3.516314583E-1,1.777943850E0,8.259292841E-1,-7.287524343E-1
3.616214583E-1,2.135410309E0,6.705406308E-1,-8.311381936E-1
3.716114583E-1,2.336747169E0,8.161151409E-1,-6.786227226E-1
3.816004583E-1,2.385510206E0,1.014022350E0,-4.340073168E-1
3.915904583E-1,2.298979521E0,8.935712576E-1,-3.231111765E-1
4.015804583E-1,2.112459898E0,5.647503734E-1,-3.738961816E-1
4.115704583E-1,1.881018519E0,3.234120905E-1,-4.730565846E-1
4.215594583E-1,1.669134021E0,2.072834820E-1,-5.717082024E-1
4.315494167E-1,1.512432814E0,1.868264079E-1,-6.484959126E-1
4.415394166E-1,1.401546359E0,2.064721137E-1,-6.713538766E-1
4.515284167E-1,1.346459866E0,1.982623935E-1,-6.470386982E-1
4.615184166E-1,1.338988662E0,1.425914317E-1,-5.891787410E-1
4.715084167E-1,1.377005458E0,1.297190487E-1,-5.020483732E-1
